ts_code,trade_date,p
801010,20190402,0.78
801010,20190403,0.72
801010,20190404,0.66
801010,20190408,0.43
801010,20190409,0.54
801020,20190402,0.63
801020,20190403,0.6
801020,20190404,0.55
801020,20190408,0.34
801020,20190409,0.49
801030,20190402,0.72
801030,20190403,0.58
801030,20190404,0.65
801030,20190408,0.43
801030,20190409,0.46
801040,20190402,0.69
801040,20190403,0.55
801040,20190404,0.52
801040,20190408,0.34
801040,20190409,0.46
801050,20190402,0.62
801050,20190403,0.61
801050,20190404,0.52
801050,20190408,0.43
801050,20190409,0.42
801080,20190402,0.72
801080,20190403,0.7
801080,20190404,0.59
801080,20190408,0.48
801080,20190409,0.44
801110,20190402,0.62
801110,20190403,0.45
801110,20190404,0.6
801110,20190408,0.46
801110,20190409,0.47
801120,20190402,0.51
801120,20190403,0.55
801120,20190404,0.55
801120,20190408,0.31
801120,20190409,0.56
801130,20190402,0.75
801130,20190403,0.57
801130,20190404,0.59
801130,20190408,0.54
801130,20190409,0.52
801140,20190402,0.78
801140,20190403,0.5
801140,20190404,0.62
801140,20190408,0.42
801140,20190409,0.4
801150,20190402,0.56
801150,20190403,0.39
801150,20190404,0.51
801150,20190408,0.28
801150,20190409,0.45
801160,20190402,0.76
801160,20190403,0.73
801160,20190404,0.59
801160,20190408,0.38
801160,20190409,0.39
801170,20190402,0.71
801170,20190403,0.61
801170,20190404,0.56
801170,20190408,0.43
801170,20190409,0.42
801180,20190402,0.61
801180,20190403,0.52
801180,20190404,0.58
801180,20190408,0.55
801180,20190409,0.5
801200,20190402,0.64
801200,20190403,0.66
801200,20190404,0.64
801200,20190408,0.38
801200,20190409,0.41
801210,20190402,0.59
801210,20190403,0.43
801210,20190404,0.57
801210,20190408,0.42
801210,20190409,0.55
801230,20190402,0.77
801230,20190403,0.62
801230,20190404,0.6
801230,20190408,0.49
801230,20190409,0.48
801250,20190402,0.67
801250,20190403,0.63
801250,20190404,0.56
801250,20190408,0.44
801250,20190409,0.42
801260,20190402,0.7
801260,20190403,0.47
801260,20190404,0.61
801260,20190408,0.39
801260,20190409,0.61
801270,20190402,0.71
801270,20190403,0.61
801270,20190404,0.64
801270,20190408,0.4
801270,20190409,0.44
801280,20190402,0.71
801280,20190403,0.54
801280,20190404,0.64
801280,20190408,0.36
801280,20190409,0.5
801300,20190402,0.68
801300,20190403,0.47
801300,20190404,0.65
801300,20190408,0.39
801300,20190409,0.63
801710,20190402,0.7
801710,20190403,0.47
801710,20190404,0.63
801710,20190408,0.36
801710,20190409,0.46
801720,20190402,0.69
801720,20190403,0.6
801720,20190404,0.54
801720,20190408,0.36
801720,20190409,0.5
801730,20190402,0.67
801730,20190403,0.55
801730,20190404,0.53
801730,20190408,0.38
801730,20190409,0.4
801740,20190402,0.76
801740,20190403,0.68
801740,20190404,0.53
801740,20190408,0.41
801740,20190409,0.57
801750,20190402,0.74
801750,20190403,0.61
801750,20190404,0.51
801750,20190408,0.39
801750,20190409,0.5
801760,20190402,0.76
801760,20190403,0.6
801760,20190404,0.55
801760,20190408,0.36
801760,20190409,0.44
801770,20190402,0.61
801770,20190403,0.62
801770,20190404,0.54
801770,20190408,0.35
801770,20190409,0.48
801780,20190402,0.46
801780,20190403,0.39
801780,20190404,0.57
801780,20190408,0.4
801780,20190409,0.57
801790,20190402,0.66
801790,20190403,0.49
801790,20190404,0.69
801790,20190408,0.38
801790,20190409,0.57
801880,20190402,0.68
801880,20190403,0.61
801880,20190404,0.59
801880,20190408,0.4
801880,20190409,0.43
801890,20190402,0.78
801890,20190403,0.62
801890,20190404,0.64
801890,20190408,0.43
801890,20190409,0.45
802600,20190402,0.71
802600,20190403,0.62
802600,20190404,0.58
802600,20190408,0.4
802600,20190409,0.46
