ts_code,trade_date,p
801010,20190402,0.71271974
801010,20190403,0.741583
801010,20190404,0.5914466
801010,20190408,0.4327534
801010,20190409,0.541536
801020,20190402,0.6038519
801020,20190403,0.60852516
801020,20190404,0.52715695
801020,20190408,0.45170903
801020,20190409,0.5677742
801030,20190402,0.66527635
801030,20190403,0.6227335
801030,20190404,0.5673993
801030,20190408,0.52829516
801030,20190409,0.5728537
801040,20190402,0.6010293
801040,20190403,0.57627755
801040,20190404,0.44843525
801040,20190408,0.440965
801040,20190409,0.53369284
801050,20190402,0.6320733
801050,20190403,0.62246066
801050,20190404,0.5085305
801050,20190408,0.47809133
801050,20190409,0.46369544
801080,20190402,0.663342
801080,20190403,0.637565
801080,20190404,0.54988986
801080,20190408,0.457022
801080,20190409,0.49903592
801110,20190402,0.6064351
801110,20190403,0.5313984
801110,20190404,0.49957567
801110,20190408,0.46675077
801110,20190409,0.55881476
801120,20190402,0.5391995
801120,20190403,0.536897
801120,20190404,0.48253578
801120,20190408,0.3861936
801120,20190409,0.60878485
801130,20190402,0.67303675
801130,20190403,0.61555624
801130,20190404,0.4889949
801130,20190408,0.5507473
801130,20190409,0.6037871
801140,20190402,0.70644
801140,20190403,0.61816704
801140,20190404,0.5317386
801140,20190408,0.4747242
801140,20190409,0.4806408
801150,20190402,0.57877934
801150,20190403,0.5375169
801150,20190404,0.4677971
801150,20190408,0.38131544
801150,20190409,0.5488247
801160,20190402,0.687394
801160,20190403,0.66000354
801160,20190404,0.48809975
801160,20190408,0.45172143
801160,20190409,0.48978192
801170,20190402,0.65597034
801170,20190403,0.6117528
801170,20190404,0.5056776
801170,20190408,0.51121116
801170,20190409,0.5062744
801180,20190402,0.55045176
801180,20190403,0.61562115
801180,20190404,0.48462138
801180,20190408,0.5455703
801180,20190409,0.504388
801200,20190402,0.5568274
801200,20190403,0.6375077
801200,20190404,0.52391154
801200,20190408,0.44841886
801200,20190409,0.5244869
801210,20190402,0.57292354
801210,20190403,0.5586275
801210,20190404,0.48244008
801210,20190408,0.41667223
801210,20190409,0.5806374
801230,20190402,0.6744663
801230,20190403,0.57268417
801230,20190404,0.5007063
801230,20190408,0.5104202
801230,20190409,0.4972268
801250,20190402,0.6617256
801250,20190403,0.6358396
801250,20190404,0.5379306
801250,20190408,0.46145096
801250,20190409,0.47036868
801260,20190402,0.6109714
801260,20190403,0.568907
801260,20190404,0.5108752
801260,20190408,0.44216162
801260,20190409,0.59317535
801270,20190402,0.662485
801270,20190403,0.6334725
801270,20190404,0.5755657
801270,20190408,0.50843006
801270,20190409,0.5240183
801280,20190402,0.6226264
801280,20190403,0.5924896
801280,20190404,0.5696597
801280,20190408,0.45021325
801280,20190409,0.5303122
801300,20190402,0.63274753
801300,20190403,0.5532087
801300,20190404,0.55938756
801300,20190408,0.4680368
801300,20190409,0.59667796
801710,20190402,0.65486896
801710,20190403,0.53012234
801710,20190404,0.49833697
801710,20190408,0.4283065
801710,20190409,0.56324965
801720,20190402,0.60393554
801720,20190403,0.63403225
801720,20190404,0.4973522
801720,20190408,0.46309367
801720,20190409,0.5416862
801730,20190402,0.64223397
801730,20190403,0.5701832
801730,20190404,0.45936078
801730,20190408,0.43380004
801730,20190409,0.5139564
801740,20190402,0.68200105
801740,20190403,0.6221805
801740,20190404,0.45347494
801740,20190408,0.4831894
801740,20190409,0.59442127
801750,20190402,0.66168106
801750,20190403,0.6048145
801750,20190404,0.55323994
801750,20190408,0.41377082
801750,20190409,0.4836708
801760,20190402,0.6873938
801760,20190403,0.58619446
801760,20190404,0.53729945
801760,20190408,0.4509817
801760,20190409,0.4994758
801770,20190402,0.69052523
801770,20190403,0.6157745
801770,20190404,0.5447899
801770,20190408,0.37903097
801770,20190409,0.5559326
801780,20190402,0.50259084
801780,20190403,0.52498245
801780,20190404,0.53811824
801780,20190408,0.46228915
801780,20190409,0.5828988
801790,20190402,0.5918826
801790,20190403,0.53119314
801790,20190404,0.6167268
801790,20190408,0.4784922
801790,20190409,0.5630916
801880,20190402,0.62041384
801880,20190403,0.6219602
801880,20190404,0.51975244
801880,20190408,0.43794805
801880,20190409,0.48849258
801890,20190402,0.70068294
801890,20190403,0.6180792
801890,20190404,0.56379753
801890,20190408,0.52118474
801890,20190409,0.53654796
802600,20190402,0.6465234
802600,20190403,0.625872
802600,20190404,0.53381103
802600,20190408,0.44000608
802600,20190409,0.5135743
