ts_code,trade_date,p
801010,20190402,0.7545092
801010,20190403,0.6795248
801010,20190404,0.8130673
801010,20190408,0.39688665
801010,20190409,0.57948196
801020,20190402,0.69055665
801020,20190403,0.51064694
801020,20190404,0.54448986
801020,20190408,0.3382555
801020,20190409,0.47308722
801030,20190402,0.78949344
801030,20190403,0.4790762
801030,20190404,0.65205747
801030,20190408,0.47297865
801030,20190409,0.48827916
801040,20190402,0.7252569
801040,20190403,0.4352706
801040,20190404,0.4850594
801040,20190408,0.32359436
801040,20190409,0.4078079
801050,20190402,0.64621806
801050,20190403,0.44929066
801050,20190404,0.57564056
801050,20190408,0.37195173
801050,20190409,0.3745498
801080,20190402,0.68381625
801080,20190403,0.5657826
801080,20190404,0.8044154
801080,20190408,0.42889863
801080,20190409,0.40499887
801110,20190402,0.63517034
801110,20190403,0.2979023
801110,20190404,0.68520147
801110,20190408,0.46341047
801110,20190409,0.47618437
801120,20190402,0.46517402
801120,20190403,0.35918188
801120,20190404,0.59382457
801120,20190408,0.22267696
801120,20190409,0.6762321
801130,20190402,0.8504151
801130,20190403,0.52097195
801130,20190404,0.6200142
801130,20190408,0.58911496
801130,20190409,0.58149254
801140,20190402,0.850011
801140,20190403,0.4052578
801140,20190404,0.62361306
801140,20190408,0.51605695
801140,20190409,0.4352514
801150,20190402,0.6322236
801150,20190403,0.24904117
801150,20190404,0.49791092
801150,20190408,0.31113976
801150,20190409,0.51220924
801160,20190402,0.8115589
801160,20190403,0.6025779
801160,20190404,0.47631627
801160,20190408,0.27715012
801160,20190409,0.30683073
801170,20190402,0.8353034
801170,20190403,0.49988848
801170,20190404,0.54543626
801170,20190408,0.49608326
801170,20190409,0.2935713
801180,20190402,0.4923045
801180,20190403,0.39194584
801180,20190404,0.60253304
801180,20190408,0.5524649
801180,20190409,0.38484138
801200,20190402,0.63288975
801200,20190403,0.5243634
801200,20190404,0.65155953
801200,20190408,0.31420308
801200,20190409,0.43388566
801210,20190402,0.62664723
801210,20190403,0.41566625
801210,20190404,0.6237166
801210,20190408,0.3276999
801210,20190409,0.664965
801230,20190402,0.8778151
801230,20190403,0.5695143
801230,20190404,0.7036811
801230,20190408,0.51435363
801230,20190409,0.49201804
801250,20190402,0.6665228
801250,20190403,0.53168803
801250,20190404,0.65101993
801250,20190408,0.47645926
801250,20190409,0.3984896
801260,20190402,0.7246508
801260,20190403,0.33999816
801260,20190404,0.57203525
801260,20190408,0.36065012
801260,20190409,0.6327392
801270,20190402,0.76118386
801270,20190403,0.4676724
801270,20190404,0.61191165
801270,20190408,0.44336978
801270,20190409,0.34707582
801280,20190402,0.67460024
801280,20190403,0.39383754
801280,20190404,0.6858536
801280,20190408,0.2963932
801280,20190409,0.37758675
801300,20190402,0.70249784
801300,20190403,0.3377463
801300,20190404,0.65913445
801300,20190408,0.28643045
801300,20190409,0.5467454
801710,20190402,0.72957
801710,20190403,0.3389996
801710,20190404,0.73687917
801710,20190408,0.33076686
801710,20190409,0.41879338
801720,20190402,0.64693797
801720,20190403,0.48327556
801720,20190404,0.5179516
801720,20190408,0.27338922
801720,20190409,0.41923055
801730,20190402,0.63478357
801730,20190403,0.39201084
801730,20190404,0.4858788
801730,20190408,0.39190716
801730,20190409,0.34363157
801740,20190402,0.80156577
801740,20190403,0.65825605
801740,20190404,0.40745682
801740,20190408,0.3648714
801740,20190409,0.55730903
801750,20190402,0.6907145
801750,20190403,0.3356635
801750,20190404,0.56163156
801750,20190408,0.4230462
801750,20190409,0.43939763
801760,20190402,0.7940279
801760,20190403,0.47772282
801760,20190404,0.59506184
801760,20190408,0.30024582
801760,20190409,0.34151483
801770,20190402,0.6661558
801770,20190403,0.528281
801770,20190404,0.63101625
801770,20190408,0.37478676
801770,20190409,0.38783082
801780,20190402,0.30576292
801780,20190403,0.19150136
801780,20190404,0.4452785
801780,20190408,0.20510983
801780,20190409,0.41856995
801790,20190402,0.625473
801790,20190403,0.29294693
801790,20190404,0.7693545
801790,20190408,0.22037928
801790,20190409,0.41154963
801880,20190402,0.66903114
801880,20190403,0.5264559
801880,20190404,0.65036553
801880,20190408,0.42811084
801880,20190409,0.3930725
801890,20190402,0.84564793
801890,20190403,0.51471776
801890,20190404,0.64714223
801890,20190408,0.44018286
801890,20190409,0.47023684
802600,20190402,0.713887
802600,20190403,0.44143558
802600,20190404,0.5532526
802600,20190408,0.41440862
802600,20190409,0.4071508
